pump site A;pump site B;pump site C;pump site D
35.8426;34.155;;21.213
35.8426;34.165;;21.213
35.8426;34.2799;;21.213
35.8426;34.4622;;21.213
35.8426;34.5391;;21.213
35.8426;34.5391;;21.213
35.8426;34.6303;;21.213
35.8426;34.6303;;21.213
35.8426;34.6303;;21.213
35.8426;34.6303;;21.213
35.8426;34.7917;;21.213
35.8426;34.8362;;21.213
35.8426;34.98;;21.213
35.8426;34.98;;21.213
35.8426;35.1912;;21.213
35.8426;35.358;;21.213
35.8426;35.358;;21.213
35.8426;35.485;;21.213
35.8426;35.5859;;21.213
35.8426;35.5859;;21.213
35.8426;35.5859;;21.213
35.8426;35.5859;;21.213
35.8426;35.5859;;21.213
35.8426;35.5859;;21.213
35.8426;35.5859;;21.213
35.8426;35.5859;;21.213
35.8426;35.5859;;21.213
35.8426;35.5859;;21.213
35.8426;35.5859;;21.213
35.8426;35.5859;;21.213
35.8426;35.5859;;21.213
35.8426;35.7529;;21.213
35.8426;35.8041;;21.213
36.5794;35.8426;;21.213
36.5794;36.104;;21.213
36.5794;36.62;;21.213
36.5794;36.6203;;21.213
36.5794;37.28;;21.213
36.5794;38.2757;;21.213
36.5794;38.2757;;21.213
36.5794;38.2757;;21.213
36.5794;38.2757;;21.213
36.5794;38.2757;;21.213
36.5794;38.6712;;21.213
36.5794;38.6712;;21.213
36.5794;38.6712;;21.213
36.5794;38.6712;;21.213
36.5794;38.6712;;21.213
36.5794;38.6712;;21.213
36.5794;38.6712;;21.213
36.5794;38.6712;;21.213
36.5794;38.8923;;21.213
36.5794;38.8923;;21.213
36.5794;38.8923;;21.213
36.5794;38.8923;;21.213
36.5794;40.044;;21.213
36.5794;40.1259;;21.213
36.5794;40.459;;21.213
36.5794;40.459;;21.213
36.5794;40.9741;;21.213
36.5794;40.9741;;21.213
36.5794;41.4303;;21.213
36.5794;41.4303;;21.213
36.5794;41.4303;;21.213
36.5794;41.4303;;21.213
36.5794;42.4932;;21.213
36.5794;42.528;;21.213
36.5794;42.771;;21.213
36.5794;43.3659;;21.213
36.5794;43.3659;;21.213
36.5794;44.0994;;21.213
36.5794;44.0994;;21.213
36.5794;44.197;;21.213
36.5794;44.4903;;21.213
36.5794;44.4903;;21.213
36.5794;44.4995;;21.213
36.5794;44.4995;;21.213
36.5794;44.4995;;21.213
36.6944;44.4995;;21.213
37.0009;45.1217;;21.213
37.0945;45.122;;21.213
37.23;45.3004;;21.213
37.5384;45.3004;;21.213
37.6862;45.3755;;21.213
37.6862;45.3755;;21.213
37.6862;45.3755;;21.213
38.8529;45.3755;;21.213
38.93;45.3755;;21.213
38.936;45.3755;;21.213
40.0733;45.5781;;21.213
40.107;46.032;;21.213
40.107;46.711;;21.213
40.107;46.774;;21.213
40.107;46.863;;21.213
40.107;46.873;;21.213
40.107;47.0917;;21.213
40.107;47.115;;21.213
40.107;47.207;;21.213
40.107;47.266;;21.213
40.107;47.2764;;21.213
40.107;47.352;;21.213
40.107;47.3745;;21.213
40.107;47.3919;;21.213
40.107;47.3919;;21.213
40.107;47.3919;;21.213
40.107;47.3919;;21.213
40.107;47.3919;;21.213
40.107;47.3919;;21.213
40.107;47.3919;;21.213
40.107;47.3919;;21.213
40.4921;47.3919;;21.213
40.641;47.3919;;21.213
40.6974;47.3919;;21.213
